book_id,title,price_gbp,price_inr,rating,in_stock,category_name
39,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,6087.35,4,1,Mystery
14,The Past Never Ends,56.5,5960.75,4,1,Mystery
42,Blood Defense (Samantha Brinkman #1),20.3,2141.65,3,1,Mystery
26,Boar Island (Anna Pigeon #19),59.48,6275.14,3,1,Mystery
37,Extreme Prey (Lucas Davenport #26),25.4,2679.7,3,1,Mystery
24,Most Wanted,35.28,3722.04,3,1,Mystery
28,Playing with Fire,13.71,1446.41,3,1,Mystery
22,Poisonous (Max Revere Novels #3),26.8,2827.4,3,1,Mystery
35,The Exiled,43.45,4583.98,3,1,Mystery
41,The Girl In The Ice (DCI Erika Foster #1),15.85,1672.18,3,1,Mystery
21,A Study in Scarlet (Sherlock Holmes #1),16.73,1765.02,2,1,Mystery
38,Career of Evil (Cormoran Strike #3),24.72,2607.96,2,1,Mystery
33,In the Woods (Dublin Murder Squad #1),38.38,4049.09,2,1,Mystery
17,The Last Mile (Amos Decker #2),54.21,5719.16,2,1,Mystery
27,The Widow,27.26,2875.93,2,1,Mystery
43,1st to Die (Women's Murder Club #1),53.98,5694.89,1,1,Mystery
15,A Murder in Time,16.64,1755.52,1,1,Mystery
25,Hide Away (Eve Duncan #20),11.84,1249.12,1,1,Mystery
13,"In a Dark, Dark Wood",19.63,2070.96,1,1,Mystery
19,Tastes Like Fear (DI Marnie Rome #3),10.69,1127.79,1,1,Mystery
18,That Darkness (Gardiner and Renner #1),13.92,1468.56,1,1,Mystery
36,The Cuckoo's Calling (Cormoran Strike #1),19.21,2026.66,1,1,Mystery
94,Batman: The Dark Knight Returns (Batman),15.38,1622.59,5,1,Sequential Art
143,"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",34.65,3655.58,5,1,Sequential Art
104,El Deafo,57.62,6078.91,5,1,Sequential Art
142,"Fruits Basket, Vol. 1 (Fruits Basket #1)",40.28,4249.54,5,1,Sequential Art
129,"Fruits Basket, Vol. 2 (Fruits Basket #2)",11.64,1228.02,5,1,Sequential Art
76,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,1435.86,5,1,Sequential Art
136,"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",46.96,4954.28,5,1,Sequential Art
109,Roller Girl,14.1,1487.55,5,1,Sequential Art
119,"Saga, Volume 3 (Saga (Collected Editions) #3)",21.57,2275.64,5,1,Sequential Art
70,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5516.6,5,1,Sequential Art
98,Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,1254.4,5,1,Sequential Art
118,"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",55.55,5860.52,5,1,Sequential Art
144,"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",57.06,6019.83,4,1,Sequential Art
89,Camp Midnight,17.08,1801.94,4,1,Sequential Art
88,"Codename Baboushka, Volume 1: The Conclave of Death",36.72,3873.96,4,1,Sequential Art
87,Danganronpa Volume 1,51.99,5484.95,4,1,Sequential Art
92,"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,4390.91,4,1,Sequential Art
116,"Fruits Basket, Vol. 4 (Fruits Basket #4)",50.44,5321.42,4,1,Sequential Art
111,"Fruits Basket, Vol. 6 (Fruits Basket #6)",20.96,2211.28,4,1,Sequential Art
108,"Fruits Basket, Vol. 9 (Fruits Basket #9)",33.95,3581.73,4,1,Sequential Art
141,"Giant Days, Vol. 1 (Giant Days #1-4)",56.76,5988.18,4,1,Sequential Art
139,"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",39.39,4155.65,4,1,Sequential Art
79,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,1628.92,4,1,Sequential Art
137,"Paper Girls, Vol. 1 (Paper Girls #1-5)",21.71,2290.41,4,1,Sequential Art
99,"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,3737.86,4,1,Sequential Art
73,The Nameless City (The Nameless City #1),38.16,4025.88,4,1,Sequential Art
72,This One Summer,19.49,2056.19,4,1,Sequential Art
95,"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,3939.37,4,1,Sequential Art
130,"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",18.51,1952.8,4,1,Sequential Art
106,Art Ops Vol. 1,48.8,5148.4,3,1,Sequential Art
112,"Death Note, Vol. 6: Give-and-Take (Death Note #6)",36.39,3839.14,3,1,Sequential Art
140,"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",45.24,4772.82,3,1,Sequential Art
85,I am a Hero Omnibus Volume 1,54.63,5763.46,3,1,Sequential Art
82,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,4811.85,3,1,Sequential Art
122,Original Fake,31.45,3317.98,3,1,Sequential Art
138,"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",29.87,3151.29,3,1,Sequential Art
78,Patience,10.16,1071.88,3,1,Sequential Art
120,Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),43.63,4602.96,3,1,Sequential Art
75,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,5317.2,3,1,Sequential Art
100,Robin War,47.82,5045.01,3,1,Sequential Art
128,"Saga, Volume 2 (Saga (Collected Editions) #2)",11.75,1239.62,3,1,Sequential Art
134,"Skip Beat!, Vol. 01 (Skip Beat! #1)",42.12,4443.66,3,1,Sequential Art
133,The Complete Maus (Maus #1-2),10.64,1122.52,3,1,Sequential Art
132,"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",54.12,5709.66,3,1,Sequential Art
117,"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",14.41,1520.26,3,1,Sequential Art
107,"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",10.9,1149.95,2,1,Sequential Art
126,Awkward,38.02,4011.11,2,1,Sequential Art
105,Batman: Europa,32.01,3377.06,2,1,Sequential Art
93,Batman: The Long Halloween (Batman),36.5,3850.75,2,1,Sequential Art
90,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,4000.56,2,1,Sequential Art
124,"Fruits Basket, Vol. 3 (Fruits Basket #3)",45.17,4765.44,2,1,Sequential Art
86,"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,2332.6,2,1,Sequential Art
84,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,3077.44,2,1,Sequential Art
103,Lowriders to the Center of the Earth (Lowriders in Space #2),51.51,5434.3,2,1,Sequential Art
83,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,2101.56,2,1,Sequential Art
81,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,4949.0,2,1,Sequential Art
102,"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",38.39,4050.14,2,1,Sequential Art
101,"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48,2688.14,2,1,Sequential Art
74,"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,5384.72,2,1,Sequential Art
115,"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",27.88,2941.34,2,1,Sequential Art
131,"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",36.52,3852.86,2,1,Sequential Art
97,Through the Woods,25.38,2677.59,2,1,Sequential Art
125,"Black Butler, Vol. 1 (Black Butler #1)",49.31,5202.2,1,1,Sequential Art
114,"Death Note, Vol. 5: Whiteout (Death Note #5)",52.41,5529.25,1,1,Sequential Art
113,"Fruits Basket, Vol. 5 (Fruits Basket #5)",16.33,1722.81,1,1,Sequential Art
110,"Fruits Basket, Vol. 7 (Fruits Basket #7)",19.57,2064.64,1,1,Sequential Art
123,"Grayson, Vol 3: Nemesis (Grayson #3)",42.72,4506.96,1,1,Sequential Art
121,Persepolis: The Story of a Childhood (Persepolis #1-2),39.13,4128.22,1,1,Sequential Art
77,"Pop Gun War, Volume 1: Gift",18.97,2001.33,1,1,Sequential Art
135,"Saga, Volume 1 (Saga (Collected Editions) #1)",28.48,3004.64,1,1,Sequential Art
127,"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",54.81,5782.46,1,1,Sequential Art
91,The Shadow Hero (The Shadow Hero),33.14,3496.27,1,1,Sequential Art
71,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1717.54,1,1,Sequential Art
96,"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.9,5686.45,1,1,Sequential Art
80,orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,5107.25,1,1,Sequential Art
11,"1,000 Places to See Before You Die",26.08,2751.44,5,1,Travel
8,A Year in Provence (Provence #1),56.88,6000.84,4,1,Travel
2,Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,49.43,5214.86,4,1,Travel
10,Neither Here nor There: Travels in Europe,38.95,4109.23,3,1,Travel
3,See America: A Celebration of Our National Parks & Treasured Sites,48.87,5155.78,3,1,Travel
5,Under the Tuscan Sun,37.33,3938.31,3,1,Travel
6,A Summer In Europe,44.34,4677.87,2,1,Travel
1,It's Only the Himalayas,45.17,4765.44,2,1,Travel
4,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,3897.17,2,1,Travel
7,The Great Railway Bazaar,30.54,3221.97,1,1,Travel
9,The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21,2448.66,1,1,Travel
